Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,TopPt1,1753140,1795946,139465,195605,296052,15008,21444,590057,538315,42806,14079,21058,7669
1989:Q3,RemainingTop1,2914872,2996822,485774,163649,581114,146661,89846,718174,811604,81950,61398,4868,15684
1989:Q3,Next9,7766893,8239317,2010174,417469,807822,1570385,448683,1020405,1964378,472424,365639,58952,47833
1989:Q3,Next40,7288584,8847451,3428522,754823,354717,1621780,399813,600605,1687191,1558867,1153156,355022,50689
1989:Q3,Bottom50,712295,1709022,829235,364634,23490,128496,54236,40382,268549,996727,616883,344306,35538
1989:Q4,TopPt1,1809136,1849933,153589,198029,309488,17632,20824,596317,554055,40798,13416,19562,7820
1989:Q4,RemainingTop1,2976566,3064691,507178,163239,593094,156921,93641,726145,824473,88125,65173,5932,17020
1989:Q4,Next9,7897902,8388855,2059520,415324,826944,1589516,468151,1031711,1997688,490953,379005,63408,48540
1989:Q4,Next40,7427155,9009034,3447484,772998,370257,1673397,417757,601854,1725286,1581878,1170151,361401,50326
1989:Q4,Bottom50,702946,1728735,826545,375994,25012,129600,55863,40800,274921,1025789,632835,358983,33971
1990:Q1,TopPt1,1794988,1833328,162867,186526,278954,20281,19674,600200,564826,38340,13041,17228,8071
1990:Q1,RemainingTop1,2959892,3052878,508915,165334,557038,166381,94502,732489,828220,92986,68169,6275,18542
1990:Q1,Next9,7880059,8393566,2040190,428708,780464,1601118,475690,1040334,2027062,513507,401192,61371,50944
1990:Q1,Next40,7508330,9104375,3446893,797350,365108,1719683,421760,602138,1751443,1596045,1197230,347624,51191
1990:Q1,Bottom50,725028,1774536,854119,389065,24459,130479,55715,41232,279467,1049509,655766,359822,33921
1990:Q2,TopPt1,1840229,1876584,174321,188725,295056,22875,18411,608144,569052,36355,12673,15551,8131
1990:Q2,RemainingTop1,3013835,3111075,527516,164599,570906,176244,96429,740507,834874,97240,70650,6980,19610
1990:Q2,Next9,7975926,8512307,2079927,425300,802576,1615634,495606,1052064,2041199,536382,421539,63049,51794
1990:Q2,Next40,7621240,9236717,3466602,814135,382192,1768407,432126,603193,1770062,1615477,1219084,345575,50818
1990:Q2,Bottom50,701889,1774046,836795,399628,26136,131448,56092,41640,282307,1072158,671971,367557,32630
1990:Q3,TopPt1,1783847,1817912,186662,172308,211394,25494,17211,617680,587163,34066,12148,13981,7937
1990:Q3,RemainingTop1,2951790,3053633,531474,166830,473026,185539,95375,748940,852450,101843,74011,7847,19985
1990:Q3,Next9,7881551,8434213,2068294,438202,671622,1624627,489571,1064697,2077200,552662,436855,65772,50035
1990:Q3,Next40,7687149,9319221,3494908,831247,348843,1813326,426025,604344,1800528,1632072,1236975,346472,48625
1990:Q3,Bottom50,733201,1827913,881387,407568,22817,132253,54884,42038,286965,1094712,687276,378230,29206
1990:Q4,TopPt1,1871502,1903435,196756,161859,261568,28082,16674,621956,616540,31933,11411,12314,8208
1990:Q4,RemainingTop1,3035757,3144838,532383,167940,524685,195125,99510,754180,871015,109080,78683,8734,21663
1990:Q4,Next9,8014816,8581370,2049538,445360,746040,1635591,510802,1071892,2122147,566554,446032,68124,52398
1990:Q4,Next40,7797181,9443222,3457663,847797,384299,1859985,445898,603728,1843852,1646042,1250728,345968,49346
1990:Q4,Bottom50,756756,1877950,910056,416087,26270,133119,56750,42472,293196,1121194,702958,389251,28985
1991:Q1,TopPt1,1957788,1987118,207247,161398,336373,30665,16536,616356,618543,29330,10719,10120,8491
1991:Q1,RemainingTop1,3136942,3252156,541756,167394,601457,204732,105105,753730,877982,115214,83046,8981,23187
1991:Q1,Next9,8164568,8739487,2059797,444774,854887,1646207,533881,1069242,2130699,574919,455672,65173,54074
1991:Q1,Next40,7932725,9575580,3432520,866633,430602,1906667,472422,600095,1866641,1642856,1263557,329534,49765
1991:Q1,Bottom50,764750,1898113,906083,427586,30946,133976,59600,42984,296938,1133363,716698,388399,28266
1991:Q2,TopPt1,1954050,1981299,218693,153247,332423,33230,15707,616603,611397,27249,10392,8447,8410
1991:Q2,RemainingTop1,3148320,3267624,552026,167706,591156,214622,107277,755882,878955,119304,85782,9572,23950
1991:Q2,Next9,8159937,8755527,2067157,447506,844678,1658789,545990,1071318,2120089,595590,475441,65679,54470
1991:Q2,Next40,8007436,9665583,3445590,880432,438396,1955064,482852,597713,1865536,1658147,1285439,323747,48961
1991:Q2,Bottom50,767255,1921290,919344,434806,31696,134895,60314,43462,296773,1154035,733596,393861,26578
1991:Q3,TopPt1,1982774,2008615,230575,135663,371201,35809,15266,613216,606884,25840,10117,7002,8721
1991:Q3,RemainingTop1,3197975,3320520,553901,169645,626615,224473,111603,755629,878653,122544,86677,10130,25737
1991:Q3,Next9,8219802,8837114,2048450,460006,897231,1670536,566017,1069300,2125573,617312,491724,66864,58724
1991:Q3,Next40,8147422,9812565,3474951,896318,466603,2003121,503806,594023,1873742,1665143,1294104,320170,50869
1991:Q3,Bottom50,821091,1979384,962512,441842,34595,135790,62382,43980,298282,1158292,731880,398335,28077
1991:Q4,TopPt1,2092546,2117215,243997,126855,478219,38394,14928,604567,610255,24669,9887,5629,9153
1991:Q4,RemainingTop1,3321830,3449183,562879,169806,733953,234435,116790,752108,879213,127353,88599,10973,27781
1991:Q4,Next9,8402973,9048217,2057604,462387,1047908,1682787,590365,1061640,2145525,645244,511978,69716,63550
1991:Q4,Next40,8295175,9983268,3481427,909689,525266,2051816,529294,588613,1897163,1688093,1313649,321207,53237
1991:Q4,Bottom50,840721,2022591,984678,448710,40852,136703,64980,44557,302110,1181869,743767,408056,30046
1992:Q1,TopPt1,2078182,2101306,256687,124615,464594,40856,13944,600190,600421,23124,9981,3877,9266
1992:Q1,RemainingTop1,3326997,3454597,577362,168713,711708,246190,117379,750417,882827,127600,87712,11075,28813
1992:Q1,Next9,8368678,9036632,2082791,458445,1022008,1710586,593535,1057327,2111940,667954,537194,67446,63314
1992:Q1,Next40,8347366,10036781,3489189,923512,529247,2112056,531764,584052,1866960,1689415,1330008,307131,52276
1992:Q1,Bottom50,857014,2031948,988516,456919,41193,138087,64805,45115,297313,1174934,743380,403825,27729
1992:Q2,TopPt1,2067660,2089568,268081,119713,466397,40540,13078,599275,582483,21907,9913,2377,9617
1992:Q2,RemainingTop1,3308436,3438392,589941,168108,705127,229133,119688,750148,876247,129956,87772,11618,30566
1992:Q2,Next9,8418791,9111528,2097815,458530,1017640,1782054,607758,1055644,2092087,692737,557660,68448,66629
1992:Q2,Next40,8436107,10135107,3501873,940290,540086,2161048,543418,580112,1868280,1699000,1342955,302417,53628
1992:Q2,Bottom50,871914,2050756,990343,466579,42287,141759,65623,45656,298508,1178842,742943,407472,28427
1992:Q3,TopPt1,2095487,2115642,280830,97101,499295,40263,12518,605003,580632,20155,9583,862,9710
1992:Q3,RemainingTop1,3330741,3465641,590420,170441,730914,211845,123697,752997,885327,134900,90720,12457,31723
1992:Q3,Next9,8531522,9244779,2077357,474548,1057532,1853177,627923,1059618,2094624,713258,575005,70660,67593
1992:Q3,Next40,8588328,10305248,3552909,956539,564764,2209766,563482,577609,1880179,1716920,1362534,301046,53340
1992:Q3,Bottom50,939143,2141134,1062471,473095,44917,145429,67523,46143,301555,1201990,758035,416908,27047
1992:Q4,TopPt1,2224391,2245338,280277,102299,587489,37322,13052,598091,626808,20946,10121,891,9934
1992:Q4,RemainingTop1,3466712,3603974,591685,171392,853631,205676,129549,767942,884099,137262,93639,12311,31312
1992:Q4,Next9,8721305,9433653,2089956,476892,1179464,1929320,648313,1041436,2068272,712348,576320,71267,64761
1992:Q4,Next40,8722239,10459979,3597709,959194,600803,2253336,583430,575426,1890081,1737740,1375201,308567,53972
1992:Q4,Bottom50,953440,2201717,1092575,483691,49854,146564,74205,47370,307458,1248278,785621,431733,30924
1993:Q1,TopPt1,2333944,2355328,276124,133161,613281,34618,14104,609518,674522,21384,10577,420,10387
1993:Q1,RemainingTop1,3552038,3690734,608507,167536,910094,196900,137363,792757,877577,138696,95853,11331,31512
1993:Q1,Next9,8846281,9548576,2153623,451837,1211097,1983289,671993,1039480,2037256,702295,572089,65583,64623
1993:Q1,Next40,8775265,10505887,3590895,958134,609494,2280778,612549,577682,1876356,1730622,1376127,298005,56490
1993:Q1,Bottom50,904622,2173811,1040955,495946,51733,147028,82114,48424,307611,1269189,800059,431923,37207
1993:Q2,TopPt1,2385187,2407073,271551,135396,624896,31947,14697,620386,708200,21886,11094,266,10526
1993:Q2,RemainingTop1,3603915,3745173,609459,169231,951040,188097,142278,817430,867638,141259,99357,10966,30936
1993:Q2,Next9,8899833,9599252,2157176,459399,1221830,2037486,684659,1035928,2002774,699419,573803,64206,61410
1993:Q2,Next40,8878798,10627387,3659916,964572,611952,2308413,627605,579470,1875459,1748590,1391810,299907,56873
1993:Q2,Bottom50,922366,2238795,1081986,507847,52903,147501,88158,49505,310896,1316429,832282,443317,40830
1993:Q3,TopPt1,2468825,2491431,267827,134414,662184,29294,15296,636510,745906,22606,11416,236,10954
1993:Q3,RemainingTop1,3697376,3843708,607104,171519,1019260,179394,147763,844933,873735,146332,104274,10877,31181
1993:Q3,Next9,8992575,9689835,2150767,469996,1268914,2092988,702599,1036209,1968362,697260,570601,64652,62007
1993:Q3,Next40,9011728,10783721,3743283,971155,625225,2337038,646104,582217,1878698,1771993,1405049,307093,59851
1993:Q3,Bottom50,934903,2309662,1127038,518983,55314,148016,94441,50537,315333,1374759,867192,459809,47758
1993:Q4,TopPt1,2582224,2605927,264968,143890,702455,26683,15922,649785,802224,23703,11893,522,11288
1993:Q4,RemainingTop1,3809197,3959137,611974,172164,1090395,170324,151921,871098,891261,149940,107681,11106,31153
1993:Q4,Next9,9099810,9799143,2170002,472418,1319606,2145870,709632,1032711,1948904,699334,569516,68356,61462
1993:Q4,Next40,9120072,10921829,3808329,980555,639513,2363757,657424,583916,1888336,1801757,1415859,323854,62044
1993:Q4,Bottom50,930867,2361645,1151470,533221,57852,148451,99968,51627,319057,1430779,894727,482330,53722
1994:Q1,TopPt1,2644307,2668283,259253,164526,656518,24077,16391,670549,876969,23976,12179,166,11631
1994:Q1,RemainingTop1,3842680,3996265,625021,170452,1067350,161345,154755,901099,916242,153585,112187,10482,30916
1994:Q1,Next9,9129258,9815465,2215257,460409,1245924,2199994,710779,1035073,1948029,686206,562602,64721,58883
1994:Q1,Next40,9184605,10988648,3852954,984724,616961,2391413,662446,587049,1893102,1804043,1421502,319265,63276
1994:Q1,Bottom50,891771,2360788,1129884,546047,56139,148927,104640,52627,322525,1469018,921483,489241,58294
1994:Q2,TopPt1,2705286,2730420,254109,173299,632906,21491,17328,695863,935424,25134,12778,350,12006
1994:Q2,RemainingTop1,3890365,4046609,631080,171185,1067483,152148,159702,933338,931673,156245,114970,10507,30768
1994:Q2,Next9,9144641,9832427,2234647,462727,1203656,2252797,717170,1040511,1920919,687787,564247,67029,56511
1994:Q2,Next40,9262839,11094171,3926286,993237,603588,2418111,677262,590855,1884833,1831332,1434392,332129,64811
1994:Q2,Bottom50,876313,2396785,1144341,559166,55481,149361,110650,53569,324216,1520472,948729,508567,63176
1994:Q3,TopPt1,2782234,2808420,248478,173109,646745,18891,18344,714982,987870,26186,13343,613,12230
1994:Q3,RemainingTop1,3968351,4127389,625725,173665,1108124,143161,166195,962552,947967,159038,118146,10659,30233
1994:Q3,Next9,9208888,9897267,2219330,474739,1214748,2307847,734594,1039004,1907006,688380,565046,70327,53007
1994:Q3,Next40,9383287,11244055,4002071,1003487,606207,2446491,700356,592814,1892629,1860768,1447479,347905,65384
1994:Q3,Bottom50,902904,2477908,1198037,571514,56660,149867,117505,54620,329705,1575004,977530,530449,67025
1994:Q4,TopPt1,2877302,2905256,243880,178234,633881,16315,18749,734317,1079880,27953,13981,1180,12792
1994:Q4,RemainingTop1,4032547,4195173,624003,174902,1118608,133677,166995,991914,985073,162626,120748,11152,30726
1994:Q4,Next9,9213745,9911463,2216554,478920,1186961,2359309,722907,1036520,1910293,697718,567132,76851,53735
1994:Q4,Next40,9413664,11316362,4035533,1009771,597131,2472220,695373,594448,1911886,1902699,1460472,373083,69144
1994:Q4,Bottom50,904872,2542493,1241827,582309,56485,150260,120889,55686,335038,1637621,1004109,558902,74610
1995:Q1,TopPt1,2980207,3008523,237434,187311,687501,13672,20012,749568,1113026,28316,14386,915,13015
1995:Q1,RemainingTop1,4149551,4314685,624452,175770,1202259,125147,175406,1019449,992202,165135,124463,10573,30099
1995:Q1,Next9,9356908,10041486,2218780,481958,1253809,2419140,750364,1029067,1888367,684578,561362,74043,49173
1995:Q1,Next40,9545016,11450736,4065162,1019909,616531,2504189,728091,594799,1922055,1905720,1465045,371276,69399
1995:Q1,Bottom50,930003,2602832,1269374,595749,59607,150920,128872,56844,341466,1672828,1027180,567739,77909
1995:Q2,TopPt1,3080426,3109699,231462,180146,747581,13119,21015,766965,1149411,29272,14771,1084,13417
1995:Q2,RemainingTop1,4288327,4458484,613361,179088,1292279,139344,183822,1048096,1002494,170157,129408,10712,30037
1995:Q2,Next9,9427733,10107888,2177859,496867,1328622,2417308,785869,1022413,1878950,680155,556902,76668,46585
1995:Q2,Next40,9733943,11667022,4134607,1024878,638149,2577855,762287,595284,1933961,1933079,1476573,385108,71398
1995:Q2,Bottom50,981614,2715458,1351019,603352,63006,154417,136713,57991,348959,1733843,1061182,589554,83107
1995:Q3,TopPt1,3221820,3252629,222558,178847,823190,12570,22493,792009,1200961,30810,15388,1420,14002
1995:Q3,RemainingTop1,4442140,4616525,591657,181255,1398364,153511,193973,1080213,1017552,174385,132785,10933,30667
1995:Q3,Next9,9462148,10148677,2107813,505304,1423926,2411821,822850,1021607,1855355,686529,558245,80680,47604
1995:Q3,Next40,9782088,11752445,4070833,1028532,665624,2650578,803686,597077,1936115,1970356,1491502,403113,75741
1995:Q3,Bottom50,1016323,2813374,1420276,611085,67116,157869,145771,59018,352239,1797051,1092418,613452,91181
1995:Q4,TopPt1,3324803,3359082,225923,177885,903911,13800,24266,796565,1216732,34279,15981,2097,16201
1995:Q4,RemainingTop1,4561332,4742431,607314,181773,1468022,162046,205777,1077228,1040271,181099,136904,11858,32337
1995:Q4,Next9,9729695,10437319,2141837,512417,1549035,2456804,842414,1049938,1884874,707624,565938,91133,50553
1995:Q4,Next40,9971138,11986992,4103958,1043914,723997,2672459,844283,610886,1987495,2015854,1512328,426273,77253
1995:Q4,Bottom50,1012000,2825601,1410217,613315,73106,161251,149829,61905,355977,1813601,1089357,636799,87445
1996:Q1,TopPt1,3366608,3403219,228027,180865,941245,15080,26041,794930,1217031,36611,16694,1802,18115
1996:Q1,RemainingTop1,4630520,4817156,625648,181925,1490347,170275,217385,1071399,1060178,186636,141429,11623,33584
1996:Q1,Next9,9944582,10675669,2188445,518389,1612277,2499057,860624,1072289,1924588,731087,579242,91015,60830
1996:Q1,Next40,10180416,12222188,4159164,1063022,764070,2692178,884251,623286,2036217,2041772,1543943,419268,78561
1996:Q1,Bottom50,1005054,2828242,1389378,618242,76944,164565,153597,64911,360605,1823188,1097551,638499,87138
1996:Q2,TopPt1,3410303,3450635,230134,173090,986836,16391,27542,797321,1219321,40332,17648,2172,20512
1996:Q2,RemainingTop1,4703099,4894254,636401,183343,1521473,178495,226724,1067298,1080520,191155,143726,12039,35390
1996:Q2,Next9,10104305,10864999,2207774,529713,1686246,2541024,867638,1098104,1934500,760693,597702,97573,65418
1996:Q2,Next40,10349681,12437820,4229125,1075208,807199,2711517,913196,636508,2065067,2088139,1575500,431695,80944
1996:Q2,Bottom50,1014194,2849295,1397374,617463,81144,167888,155821,67839,361767,1835102,1097632,653100,84370
1996:Q3,TopPt1,3403659,3447544,236154,169299,985439,17738,29326,798502,1211086,43885,18642,2527,22716
